t,x,y,z
7.450000000000000000e+01,4.559218543071125396e+02,3.654171560701656176e+02,1.727298290316871743e+01
7.460000000000000853e+01,4.562613243216030696e+02,3.657842490337305890e+02,1.727129016486631841e+01
7.470000000000000284e+01,4.566007943360934860e+02,3.661513419972955035e+02,1.726959742656391938e+01
7.479999999999999716e+01,4.569402643505839023e+02,3.665184349608604180e+02,1.726790468826152036e+01
7.490000000000000568e+01,4.572797343650743187e+02,3.668855279244253893e+02,1.726621194995912134e+01
7.500000000000000000e+01,4.576192043795647919e+02,3.672526208879903606e+02,1.726451921165672232e+01
7.510000000000000853e+01,4.579586743940552651e+02,3.676197138515553320e+02,1.726282647335432330e+01
7.520000000000000284e+01,4.582981444085456815e+02,3.679868068151202465e+02,1.726113373505192428e+01
7.529999999999999716e+01,4.586376144230360978e+02,3.683538997786852178e+02,1.725944099674952525e+01
7.540000000000000568e+01,4.589770844375265710e+02,3.687209927422501323e+02,1.725774825844712623e+01
7.550000000000000000e+01,4.593165544520169874e+02,3.690880857058151037e+02,1.725605552014472721e+01
7.560000000000000853e+01,4.596560244665074606e+02,3.694551786693800750e+02,1.725436278184232819e+01
7.570000000000000284e+01,4.599954944809978770e+02,3.698222716329449895e+02,1.725267004353992917e+01
7.579999999999999716e+01,4.603349644954882933e+02,3.701893645965099608e+02,1.725097730523753015e+01
7.590000000000000568e+01,4.606744345099787665e+02,3.705564575600749322e+02,1.724928456693513112e+01
7.600000000000000000e+01,4.610139045244692397e+02,3.709235505236398467e+02,1.724759182863273210e+01
7.610000000000000853e+01,4.613533745389596561e+02,3.712906434872048749e+02,1.724589909033033308e+01
7.620000000000000284e+01,4.616928445534500725e+02,3.716577364507697894e+02,1.724420635202793406e+01
7.629999999999999716e+01,4.620323145679405457e+02,3.720248294143347039e+02,1.724251361372553504e+01
7.640000000000000568e+01,4.623717845824309620e+02,3.723919223778996752e+02,1.724082087542313602e+01
7.650000000000000000e+01,4.627112545969214352e+02,3.727590153414646466e+02,1.723912813712073699e+01
7.660000000000000853e+01,4.630507246114119084e+02,3.731261083050296179e+02,1.723743539881833442e+01
7.670000000000000284e+01,4.633901946259023248e+02,3.734932012685945324e+02,1.723574266051593540e+01
7.680000000000001137e+01,4.637296646403927980e+02,3.738602942321595037e+02,1.723404992221353638e+01
7.690000000000000568e+01,4.640691346548832144e+02,3.742273871957244182e+02,1.723235718391113735e+01
7.700000000000000000e+01,4.644086046693736307e+02,3.745944801592893327e+02,1.723066444560873833e+01
7.710000000000000853e+01,4.647480746838641039e+02,3.749615731228543609e+02,1.722897170730633931e+01
